well_id,sno,state,district,block,location,longitude,latitude,year,ph,ec,co3,hco3,cl,so4,no3,po4,th,ca,mg,na,k,f,sio2,tds
W193530074180001,1,Maharashtra,Ahmednagar,SANGAMNER,Kokangaon,74.3,19.59166667,2022,7.9,1315.0,0,518.7,120.5,61.6,18.2,,465.0,80.2,64.4,88.3,1.6,0.53,,
W192600074540001,2,Maharashtra,Ahmednagar,NEVASA,Vadala Bhairoba,74.9,19.43333333,2022,7.55,1513.0,0,292.9,191.4,187.4,63.7,,510.0,116.2,53.5,96.4,7.2,0.18,,
W192400075180001,3,Maharashtra,Ahmednagar,SHEVGAON,Ghotan,75.3,19.4,2022,7.36,6611.0,0,756.6,1201.8,824.4,200.4,,1900.0,348.7,250.3,380.4,450.0,0.11,,
W191640074134001,4,Maharashtra,Ahmednagar,SANGAMNER,Bote,74.22777778,19.27777778,2022,7.97,1276.0,0,305.1,102.8,79.5,200.1,,425.0,76.2,57.1,87.7,2.1,0.31,,
W193130073553001,5,Maharashtra,Ahmednagar,AKOLA,Rajur,73.925,19.525,2022,7.85,638.4,0,323.4,24.8,18.4,11.1,,290.0,50.1,40.1,15.7,0.3,0.2,,
W193400074131501,6,Maharashtra,Ahmednagar,SANGAMNER,Sangamner,74.22083333,19.56666667,2022,8.14,1810.0,0,445.4,198.5,124.6,197.0,,460.0,80.2,63.2,202.8,5.0,0.69,,
W192100074103001,7,Maharashtra,Ahmednagar,SANGAMNER,Ambikhalsa,74.175,19.35,2022,8.02,950.8,0,378.3,60.3,53.1,38.8,,250.0,50.1,30.4,104.6,0.8,0.54,,
W194300074290001,8,Maharashtra,Ahmednagar,KOPARGAON,Rahata,74.48333333,19.71666667,2022,7.63,3930.0,0,439.3,904.0,160.1,200.3,,1025.0,210.4,121.5,440.4,1.6,0.45,,
W191400074400001,9,Maharashtra,Ahmednagar,NAGAR,Dehre,74.66666667,19.23333333,2022,8.08,516.5,0,207.5,49.6,16.3,3.4,,190.0,60.1,9.7,27.6,1.1,0.24,,
W190620074375001,10,Maharashtra,Ahmednagar,NAGAR,Jakhangaon,74.63055556,19.10555556,2022,7.76,3735.0,0,360.0,397.0,890.1,80.0,,1230.0,210.4,171.3,297.1,6.1,0.59,,
W193600074303001,11,Maharashtra,Ahmednagar,SHRIRAMPUR,Babhuleshwar,74.50833333,19.6,2022,8.11,868.7,0,366.1,53.2,46.6,13.1,,280.0,60.1,31.6,72.7,0.4,0.6,,
W185735074322001,12,Maharashtra,Ahmednagar,PARNER,Supe,74.53888889,18.95972222,2022,7.78,2007.0,0,421.0,244.6,141.1,198.4,,470.0,80.2,65.6,223.0,9.6,1.25,,
W185745074482501,13,Maharashtra,Ahmednagar,NAGAR,Dahigaon,74.80694444,18.9625,2022,7.56,4286.0,0,366.1,524.7,924.1,200.2,,1000.0,200.4,121.5,335.5,330.3,0.45,,
W192120075190001,14,Maharashtra,Ahmednagar,SHEVGAON,Rakshi,75.31666667,19.35555556,2022,8.12,784.2,0,292.9,56.7,63.5,16.7,,280.0,60.1,31.6,44.3,6.4,0.56,,
W192830074371501,15,Maharashtra,Ahmednagar,RAHURI,Devlali,74.62083333,19.475,2022,7.91,1940.0,0,482.1,237.5,160.0,80.3,,455.0,56.1,76.5,219.5,11.4,0.52,,
W192300074345501,16,Maharashtra,Ahmednagar,RAHURI,Malharwadi,74.58194444,19.38333333,2022,7.82,739.9,0,244.1,78.0,45.7,13.7,,240.0,40.1,34.0,58.8,2.4,0.69,,
W191720074441501,17,Maharashtra,Ahmednagar,RAHURI,Bambori,74.7375,19.28888889,2022,8.02,492.7,0,183.1,39.0,38.2,9.1,,190.0,34.1,25.5,28.2,0.6,0.32,,
