well_id,sno,state,district,block,location,latitude,longitude,year,ph,ec,co3,hco3,cl,so4,no3,po4,th,ca,mg,na,k,f,sio2,tds
202300001,1,Andaman & Nicobar Islands,North & Middle Andaman,,Bakultala,12.5043,92.8577,2023,7.96,395,0,171,14,28,8,0.04,160,12,32,18,5,0.18,,
202300002,2,Andaman & Nicobar Islands,North & Middle Andaman,,Baratang (Nilambur),12.1683,92.767,2023,8.19,473,0,31,96,50,10,0.03,135,26,17,39,5,0.00,,
202300003,3,Andaman & Nicobar Islands,North & Middle Andaman,,Basantipur,12.7579,92.8737,2023,8.19,556,0,220,28,51,1,0.05,230,38,33,22,1,0.00,,
202300004,4,Andaman & Nicobar Islands,North & Middle Andaman,,Betapur,12.6191,92.9434,2023,8.07,487,0,214,57,0,2,0.08,95,18,12,68,8,0.16,,
202300005,5,Andaman & Nicobar Islands,North & Middle Andaman,,Dhobidera (Mayabunder),12.9099,92.8992,2023,8.02,567,0,232,39,29,11,0.04,230,28,39,31,1,0.13,,
202300006,6,Andaman & Nicobar Islands,North & Middle Andaman,,Durgapur,13.2765,93.0236,2023,8.20,526,0,232,25,28,0,0.09,160,34,18,43,1,0.38,,
202300007,7,Andaman & Nicobar Islands,North & Middle Andaman,,Haribay,13.0023,92.8442,2023,8.15,233,0,92,25,12,3,0.08,70,24,2,25,1,0.00,,
202300008,8,Andaman & Nicobar Islands,North & Middle Andaman,,Joypur,12.6982,92.8809,2023,8.13,457,0,201,32,26,1,0.10,220,14,45,12,0,0.12,,
202300009,9,Andaman & Nicobar Islands,North & Middle Andaman,,Kadamtala,12.3488,92.775,2023,8.09,413,0,214,25,8,2,0.07,180,34,23,13,1,0.00,,
202300010,10,Andaman & Nicobar Islands,North & Middle Andaman,,Kausalyanagar,12.5284,92.8189,2023,8.08,276,0,122,21,13,4,0.02,95,24,9,23,3,0.00,,
202300011,11,Andaman & Nicobar Islands,North & Middle Andaman,,Keralapuram,13.2588,93.0135,2023,8.18,271,0,98,28,15,2,0.03,105,8,21,15,2,0.00,,
